,cleaning_start__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
count,10.0,10.0,10.0,10.0
mean,1.0450000000000002,59.44192640781402,59.886906599998476,59.808864873170855
std,0.04648775226993783,0.3114845991606812,0.10130808135097204,0.006582672393096852
min,0.98,58.76623010635376,59.82338809967041,59.801841809749604
25%,1.0225,59.452627778053284,59.823770225048065,59.80398640275001
50%,1.04,59.609851002693176,59.824227929115295,59.80907009840011
75%,1.065,59.61134648323059,59.98032248020172,59.81051893115044
max,1.15,59.61207890510559,60.03488111495972,59.82456257343292
