,cleaning_start__avg_removed_p_in_itrs,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
count,10.0,10.0,10.0,10.0,10.0
mean,1.0610000000000002,0.035,59.5790652513504,59.99737014770508,59.819639326334006
std,0.037844711945293236,0.02321398046197353,0.24049059277087487,0.0024005075105135985,0.006380184193633425
min,1.02,0.01,58.95385980606079,59.992862939834595,59.80627092599869
25%,1.04,0.02,59.576803743839264,59.99733370542526,59.816995291113855
50%,1.05,0.025,59.58209848403931,59.998294949531555,59.81911399245263
75%,1.065,0.0525,59.732014417648315,59.998905181884766,59.824953948855395
max,1.15,0.08,59.78954792022705,59.99936294555664,59.82774756908417
