,cleaning_start__avg_removed_p_in_itrs,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
count,9.0,9.0,9.0,9.0,9.0
mean,1.0555555555555556,0.030000000000000002,59.47344976001315,59.89296756850349,59.817174474133395
std,0.03643868518179244,0.018708286933869712,0.28382430949097764,0.06949089724991352,0.00473474897129263
min,1.0,0.01,58.82445001602173,59.86455202102661,59.80986788749695
25%,1.04,0.02,59.454808950424194,59.87035012245178,59.815041608810425
50%,1.05,0.03,59.64930510520935,59.87157106399536,59.81931108474731
75%,1.09,0.04,59.65559196472168,59.871752977371216,59.81986594676972
max,1.1,0.07,59.66312885284424,60.07811999320984,59.82281356096268
