,exp_id,cleaning_start__min_removed_p_in_itrs,cleaning_start__max_removed_p_in_itrs,cleaning_start__avg_removed_p_in_itrs,cleaning_end__min_removed_p_in_itrs,cleaning_end__max_removed_p_in_itrs,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
0,341490,1,2,1.03,0,4,0.06,58.9776611328125,59.823601961135864,59.80822532176971
1,341502,1,3,1.04,0,1,0.05,59.611071825027466,59.82338809967041,59.809914875030515
2,341514,1,4,1.07,0,1,0.08,59.609668016433716,60.034088134765625,59.81136497497559
3,341531,0,1,0.98,0,1,0.03,59.611621141433716,59.82479190826416,59.80228491306305
4,341551,0,2,1.0,0,0,0.0,59.611438035964966,59.82436490058899,59.81062435388565
5,341569,1,2,1.04,0,1,0.09,59.608935832977295,60.03216600418091,59.80315918207169
6,341584,1,5,1.15,0,5,0.11,58.76623010635376,59.8236939907074,59.801841809749604
7,341606,1,2,1.02,0,2,0.07,59.40052509307861,59.82399892807007,59.806468064785
8,341619,0,2,1.05,0,1,0.04,59.61003398895264,59.8240909576416,59.810202662944796
