,cleaning_start__avg_removed_p_in_itrs,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
count,9.0,9.0,9.0,9.0,9.0
mean,1.0422222222222224,0.05888888888888889,59.42302057478163,59.870464987225006,59.80712068425285
std,0.04841946348777982,0.03333333333333333,0.32423663283746496,0.09222292920539507,0.003810948605014622
min,0.98,0.0,58.76623010635376,59.82338809967041,59.801841809749604
25%,1.02,0.04,59.40052509307861,59.8236939907074,59.80315918207169
50%,1.04,0.06,59.609668016433716,59.8240909576416,59.80822532176971
75%,1.05,0.08,59.611071825027466,59.82479190826416,59.810202662944796
max,1.15,0.11,59.611621141433716,60.034088134765625,59.81136497497559
