,exp_id,cleaning_start__min_removed_p_in_itrs,cleaning_start__max_removed_p_in_itrs,cleaning_start__avg_removed_p_in_itrs,cleaning_end__min_removed_p_in_itrs,cleaning_end__max_removed_p_in_itrs,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
0,341479,0,2,1.03,0,1,0.01,59.649396896362305,59.87092995643616,59.82601929187775
1,341491,0,3,1.04,0,2,0.03,59.454808950424194,59.87157106399536,59.82281356096268
2,341504,1,3,1.08,0,1,0.01,59.66196918487549,59.87035012245178,59.8223076581955
3,341515,1,3,1.09,0,2,0.04,59.65559196472168,60.07811999320984,59.81953413724899
4,341529,0,5,1.09,0,3,0.04,59.24111890792847,59.86534595489502,59.810725421905516
5,341549,0,3,1.01,0,5,0.07,58.82445001602173,59.86455202102661,59.80986788749695
6,341567,0,2,1.0,0,1,0.02,59.64930510520935,59.871906042099,59.81986594676972
7,341581,1,3,1.05,0,1,0.01,59.66312885284424,59.871752977371216,59.815041608810425
8,341604,0,4,1.1,0,2,0.03,59.455601930618286,59.871387004852295,59.81931108474731
9,341616,0,2,1.04,0,1,0.02,59.655072927474976,59.87172293663025,59.81510296106339
