,cleaning_start__avg_removed_p_in_itrs,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
count,10,10,10,10,10
mean,1.053,0.028,59.4910444736481,59.8907638072968,59.8180589559078
std,0.035292429153511,0.01873795909674,0.273315358062351,0.065886239598477,0.005267832185456
min,1,0.01,58.8244500160217,59.8645520210266,59.8098678874969
25%,1.0325,0.0125,59.4550071954727,59.8704950809479,59.8150569468737
50%,1.045,0.025,59.6493510007858,59.8714790344238,59.8194226109982
75%,1.0875,0.0375,59.65546220541,59.871745467186,59.8216972303391
max,1.1,0.07,59.6631288528442,60.0781199932098,59.8260192918777
