,cleaning_start__avg_removed_p_in_itrs,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
count,9.0,9.0,9.0,9.0,9.0
mean,1.0633333333333335,0.035555555555555556,59.578723165724014,59.997318267822266,59.81899099826813
std,0.03937003937005903,0.02455153310442706,0.25507621284376963,0.0025401695261003804,0.006408306307173254
min,1.02,0.01,58.95385980606079,59.992862939834595,59.80627092599869
25%,1.04,0.02,59.5752170085907,59.99716591835022,59.816955683231356
50%,1.05,0.02,59.5820529460907,59.99856996536255,59.81892879724503
75%,1.07,0.06,59.78188991546631,59.99893593788147,59.82339295864105
max,1.15,0.08,59.78954792022705,59.99936294555664,59.82774756908417
