,cleaning_start__avg_removed_p_in_itrs,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
count,10.0,10.0,10.0,10.0,10.0
mean,0.969,0.152,59.358207893371585,59.855922317504884,59.796906369924535
std,0.01595131481867388,0.04825856285561028,0.2955442601148554,0.0009299292418926931,0.0073341820604539455
min,0.94,0.07,58.819567918777466,59.85490894317627,59.7847615981102
25%,0.96,0.125,59.234978437423706,59.85525983572006,59.79356724262237
50%,0.975,0.14,59.33832144737244,59.85570251941681,59.796262167692184
75%,0.98,0.18,59.64697927236557,59.85610693693161,59.800381916761395
max,0.99,0.23,59.64765810966492,59.85759496688843,59.80938517332077
