,cleaning_start__avg_removed_p_in_itrs,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
count,9.0,9.0,9.0,9.0,9.0
mean,0.9688888888888888,0.15333333333333332,59.3719331158532,59.85590945349799,59.797145987616645
std,0.016914819275153713,0.05099019513592785,0.31007324362282435,0.0009853947250816353,0.0077374458076448
min,0.94,0.07,58.819567918777466,59.85490894317627,59.7847615981102
25%,0.96,0.12,59.23587107658386,59.85521411895752,59.79317305326462
50%,0.98,0.14,59.44040584564209,59.85558009147644,59.7963471698761
75%,0.98,0.18,59.647170066833496,59.85612988471985,59.800739090442654
max,0.99,0.23,59.64765810966492,59.85759496688843,59.80938517332077
