,exp_id,cleaning_start__min_removed_p_in_itrs,cleaning_start__max_removed_p_in_itrs,cleaning_start__avg_removed_p_in_itrs,cleaning_end__min_removed_p_in_itrs,cleaning_end__max_removed_p_in_itrs,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
0,341489,0,2,0.98,0,4,0.14,59.02648401260376,59.85582494735718,59.805600876808164
1,341501,0,2,0.98,0,1,0.07,59.647170066833496,59.85490894317627,59.800739090442654
2,341512,0,4,0.99,0,1,0.21,59.64640688896179,59.85612988471985,59.7963471698761
3,341527,0,1,0.98,0,3,0.23,59.23623704910278,59.85759496688843,59.79931039571762
4,341547,0,2,0.96,0,3,0.18,59.23587107658386,59.857442140579224,59.7888193655014
5,341565,0,1,0.96,0,2,0.12,59.44040584564209,59.855093002319336,59.79617716550827
6,341579,0,3,0.98,0,1,0.11,59.64759707450867,59.85521411895752,59.80938517332077
7,341602,0,2,0.95,0,5,0.18,58.819567918777466,59.85539698600769,59.7847615981102
8,341615,0,2,0.94,0,1,0.14,59.64765810966492,59.85558009147644,59.79317305326462
