,cleaning_start__avg_removed_p_in_itrs,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
count,9.0,9.0,9.0,9.0,9.0
mean,1.0733333333333333,0.02888888888888889,59.46143751674228,59.976708014806114,59.81480256186592
std,0.0370809924354783,0.01615893285805443,0.18199898742528967,0.005209949153214249,0.006484861486960485
min,1.03,0.01,59.13761591911316,59.96631693840027,59.80115916490555
25%,1.05,0.02,59.34804105758667,59.97861409187317,59.81217417240143
50%,1.06,0.03,59.54384899139404,59.97885704040527,59.81484533309936
75%,1.09,0.04,59.55791687965393,59.979559898376465,59.82087982654571
max,1.14,0.06,59.755555152893066,59.98004698753357,59.82148211479187
