,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
count,10.0,10.0,10.0,10.0
mean,0.028000000000000004,59.4711829662323,59.97699313163757,59.81381248402596
std,0.015491933384829668,0.1743357845937511,0.004994049860862932,0.00686901496792485
min,0.01,59.13761591911316,59.96631693840027,59.80115916490555
25%,0.02,59.34806376695633,59.97866731882095,59.811094205975536
50%,0.025,59.55066895484924,59.979177594184875,59.81475092768669
75%,0.0375,59.55803006887436,59.97955971956253,59.81962064623833
max,0.06,59.755555152893066,59.98004698753357,59.82148211479187
